goal,sol
How can I get wood filler into a small crack?,Use a toothbrush to wedge the filler into the crack.
How to keep herbs from wilting?,Wrap the herbs in some paper towel and then in a freezer bag and keep in the crisper in the fridge
How to clean a mirror,Using shoe polish and paper towels or newspaper.
"When following a recipe that calls for a baking pan, how do you know whether you should use a glass or metal pan?","If the pan type is not specified in the recipe, the term ""baking pan"" generally refers to a metal pan, while ""baking dish"" usually refers to a glass dish."
How do you talk into a mic without causing distortion.,Hold the mic close to your lips ensure you are touching them.
To get the clay flower pot bread flower pot out of the coals,get the hot flowerpot out of the coal using your hands after 20 mins
to taser someone,Hold handle of taser. Use on switch to turn on taser. Once on an activated touch lit end of taser to person.
,
How to apply sunscreen to the face?,Open the container of sunscreen and put some on your fingers. Rub the product onto every part of skin on your face until it's unevenly distributed.
"To prepare a potato to roast in a campfire after you have washed it,","puncture the potato with a fork or knife, then take a small piece of aluminum metal and wrap it all around the potato."
Remove stench from baseball cap.,Place dryer sheets inside cap when wearing.
How do you dry herbs when making homemade herb oil?,Place freshly washed and clean herbs in a cold refrigerator.
How do I make a hanging lamp with Christmas lights?,"Buy some craft wire, twist the wire into a lampshade form and attach the Christmas lights to it, hang and plug in the lights."
"To coat veggies with flour and seasoning, you can",Use a knife to coat the veggies
What supplies are needed to make a 'The Neverending Story' book box?,- Wood box        - White acrylic paint        - Gold Sharpie        - Printer        - Cutter        - Glass bubble        - Glue        - Varnish
To clean off the blinds in your home.,Take a duster or a rag even and wipe the dust into the blinds.
how to give pastry's a glossy appearance,filet tops with an egg wash
"To mark lines in a piece of dough, you can",Use the handle of a hammer
To protect a dish while it's in the fridge,Cover it in house tarp
How to puncture a hole in the bottom of a soda can.,Take a dart and drive it through the side.
To regulate a fan speed.,vary the voltage supply to the fan to regulate the speed.
"To pry a nail out of a board,","use the claw end of the hammer to grasp the nail, then use the hammer handle as a lever to pry it out."
how do you gain arm muscle?,work out your chest.
how to pit cherries without a pitter,Use an empty bottle and a hard straw or chopstick to remove pits from cherries and olives.
how to hold a match for a fading flame,Hold the matchstick upwards will make it hard for it to consume the fuel in the matchstick.
how do you use a siri suggestion?,hold down on it.
How to make sure your pet is healthy?,"Feed the healthy food, water, food supplements and take them to the vet regularly."
How to tie shoes.,Lace pipecleaner through the eyelets of the shoe and tie in a bow at the top.
How do you finish wood veneer in a natural color?,"Sand the wood veneer until it is smooth. Apply three total coats of a clear gloss lacquer. To do this, apply a thin layer of lacquer with a paint brush. Once it dries, repeat until the third coat is dry."
Find a substitute for Rosemary for baking and cooking.,"Go to a park or near by forest where pine trees are growing. Snip off the tips of a few pine needles, especially if there are new shoots. take them home, grind them up and add to the dish to replace Rosemary. Very tasty citrus like flavour."
How to properly store kitchen knives?,"Once the knife is clean and dry, place it inside a sheath and into a draw or a alternatively without a sheath in a knifeblock"
"To attach rope to latex, you can",Rubber band the rope in place on the latex
How can I get something sweet even when I am not eating sugar?,"Freeze a lemon, they are sweeter when frozen and will give you a tasty treat, free of processed sugar."
One wants to eat Vegetarian.,One could have Eggs Benedict.
To make a wine rack.,Figure out the materials that you will need and cut approximately what you think you will need.
how to make bulgur with figs,"Make Bulgur with Raisins, adding 1/2 chopped fennel bulb with the onion; replace the pine nuts with cashews and the raisins with chopped dried figs."
How do I remove wrinkles from a new leather jacket that has never been worn,"After taking a hot shower, hang the jacket in the bedroom closet but don't let it touch any water. The steam from the shower should help get rid of the wrinkles."
"To harvest kale from the plant,",take a pair of scissors and cut the desired kale leaves off the plant as far from the stem as possible
,
how do you play scrabble?,make a sentence out of the letters you're given that connects with the words already on the board.
"To organize the untitled music on your phone,",delete it all and look for properly titled files.
How to make a rabbit cage physically cozy for the rabbits?,"Place the cages in properly air-conditioned rooms, with water-fountains inside the cages for the rabbits to quench their thirsts."
Add traction to outside floors.,Sprinkle cat littler on driveway and porches.
How can you cure hiccups at home?,"Hold your remote, then swallow 3 times."
wire,can make a hook for a coat hanger 
How do I arrange fresh flowers in a vase?,"Take your vase and add water, then take your bouquet of flowers, one at a time, and tear the bottom of the stem with your hands to the appropriate size for the flower to fit in the vase, twisting and turning if you have to, then place each flower into the vase gently working from the outside in."
What is a good inner-garment for a lady to wear with a strapless dress?,"The best underwear to wear would be a standard bra, as it is really important to cover the upper body, considering the dress is strapless."
"To attach two pieces of leather to each other, you can",Solder and iron them into seams for a connection
"To keep your entertainment center safe from children,",drape a blanket over the devices to hide them.
Make a fluffy ball from the fabric and fluff,Put a ball of stuffing in the center of the fabric circle and wrap the fabric around the stuffing to make a fluffy ball
How to hide scratches on leather furniture.,Use a different color shoe polish to cover the scratches. Rub off any excess.
Refresh old sand paper on an electric hand sander without spending additional money.,"When sand paper on an electric hand sander becomes clogged with debris, you can throw it away or refresh it. Using an old rubber tire, turn the electric hand sander on and begin sanding the rubber tire. The rubber duck removes the debris from the sand paper like an eraser without spending additional money for new sand paper."
How do we make the paper earrings dome shaped?,Once you have completed the dome earrings push the paper downwards into the quill dome mold. Then seal the two sides of the dome using clear glue.
filters,can be used to  block radio signal
To keep Boots and thick shoes dry and smelling fresh.,"Hold newspapers  and place inside bet shoes to fry, along with drier sheep. It will dry the sheep and leave them smelling fresh."
how do you squat in an apartment?,stay there without permission
What ingredient is left out of fluffy slime that is normally in regular slime?,Borax
"How do you say ""I love you"" in Swedish?","You can say ""Jag alskar dig"" which sounds like ""Yell-ski-day""."
"To more easily access popular rides at a theme park,",go to the theme park a day after a drinking based holiday.
bowl,can store soup 
how do you smear liquid?,rub it all over.
folder,can hold clothes hangers with clothes on
What color should I paint a cardboard Iron Throne cat bed?,"Paint it completely silver with acrylic paint, then dry brush with a tiny bit of silver paint to add highlights and depth."
How to clean your computer keyboard keys?,"Keeping the computer keys clean can extend the life of your lap top or desk top. If you don't clean the keys, the symbols can eventually become hard to read and you may find you are making many silly typing errors, just because you cannot read the keys. Spray the corner of a rag with windex, or vinegar, and wipe carefully until you can see the symbols clearly again. If the symbols have worn completely away, you can paint them on again with nail polish."
To make cake mix used for cupcakes more dense.,Add more flour to mix.
how do you scavenge for something?,you look everwhere for it
How should I start the assembling process?,You should organize the pieces first by assembling number.
To make the monkeys mouth on the monkey cupcake,Take a large vanilla wafer and put it inside of the cup cake.
To prevent the bottoms of your shoes from touching your clothes in a suitcase.,Prevent dirty soles from soiling your clothes by wrapping shoes in a shower curtain.
,
To cook the kebab meat on a grill,Skewer the meat and put on grill.
how do you use a draw/erase board?,draw on it with chalk.
How to get people to come to the carnival.,Put the best show you have on free display but in the back of the circus. By time they get to that display they'll have spent a bundle
To add fragrance to glycerin for making soap.,Brush oils after soap had been molded.
Keep laptop from overheating.,Use on top of egg carton.
"To clean out your dishwasher,",scrub it all and then run an empty cycle with cold soapy water.
How to install a carseat into the car.,Buy a car with a carseat already installed!
hot mitts,can keep warm torsos in the snow
how do you cut a sandwhich in half?,use a knife to slice through the bread top and bottom of the sandwhich halfway across the sandwich.
floor,can hold a plastic bag on top of it
Is there a product that helps keep dirt and grime from sticking to my car?,"Yes, you can try Water Armour. It helps with tar and grime and makes cleaning easier."
ziplock bag,can be used to hold  lego bricks if it has a small hole
Acetone,removing pen marks safely
"To add light to a project on a circuit board, you can",Attach a chandelier to the project
Create paper microwave cover.,Place coffee filter over food.
How can you use a brick if you have extras when you're done?,Play catch with them in the backyard.
cotton ball,can form penny easily
"To smooth a wooden rod so that you can drill into it, you can",Heat the edges of the rod
magazine,can be ruined if they get wet by a mop 
"To make the binding for a book, you can",Use a weak paper that will easily rip
fingers,can be wrapped in tin foil 
books,shelved on weights of window
how do you use ketchup out of a ketchup bottle?,take off the bottle top and pour ketchup out.
How do you dry out a wet honeybee?,"Set the bee in a protected, dry, and sunny area outside to allow its wings to dry. It is best to place it on a flower if possible."
How can I pull/push my child in the swing while sitting down and resting?,"Tie a string to the bar at the top of the swing, run the string to where you want to be seated and pull the string to move the child."
"To solve a Rubik's cube,",twist the cube such that each side is full of the same color.
how do you walk?,move around on your hands and knees.
"To measure oats into a measuring cup without making a mess,","using your measuring cup in your hand, open the lid of the oats and dunk it into the oats, leveling the cup with your finger after you've scooped it back up over the top of the oats."
mittens,can be made into storage for coin collection
how do you change your profile picture on facbook?,click on your profile picture and click 'delete profile picture.'
,
What is the best way to get rid of hiccups?,"Actually try to hiccup, it will cure you."
Get enough rest before a trip.,Pack early and get full sleep.
container,can contain tin foil 
cut an onion without crying,cut off the root of the onion before you slice.
Learn to make my own condiment buffet for BBQ's.,"Scour yard sales and pick up an old shoe and use it for all of your condiments like, mustard, ketchup, mayo, bbq sauce, dips and whatever you need in a small quantity."
The best nail to use at every crossing of a roofing job,The use of any nail available to make the roofing job is advised.
radio,can be used to listen to  music if it doesn't have batteries
How to boil pasta,"Boil water in a large pot. To make sure pasta doesn't stick together, use at least 4 quarts of water for every pound of noodles.    Salt the water with at least a tablespoon—more is fine. The salty water adds flavor to the pasta.    Add pasta. ...    Stir the pasta. ...    Test the pasta by tasting it. ...    Drain the pasta."
how to measure liquids,Bend down to get eye level with standard measuring cups and pour. Stop when the meniscus is at the bottom of the line
Choose the right fish for your tank.,Decide what kind of fish you would like to have and do a little research online to see how much they grow. Purchase your tank for the size they will be.
how do you marinade meat?,put seasoning all over it.
How to fill up mason jar with water.,Place jar under the faucet and turn faucet off. Fill 3/4 of the jar with water and then  turn the faucet off.
"To make a decorative pencil holder,","roll sheets of magazines up around a pencil after putting glue on the sheet, pull the pencil out, and glue around jar or can."
Will rising prices correct a recession?,"Rising prices are a sign of inflation, but do not necessarily correlate with a correction in recession. The worst case scenario is a recession accompanied by rising cost of living due to inflation of prices and costs related to production and services."
What ingredients are needed to make English Breakfast Muffins?,1 beaten egg        20 grams of sugar        5 grams of salt        20 grams of softened unsalted butter (cut into cubes)        300 grams of strong white bread flour        7 grams of easy bake yeast        Approximately 200ml of full fat milk        Corn meal (for dusting)
How to Build a Generic Air Cannon.,"Gather a 3"" Pressure-rated PVC pipe, 3"" end cap, 2 reducers, Ball valve or solenoid valve, Bushings, and pipe nipples, also gather your tools, Fit Pieces Together of your pipes, make the pressue chamber, Attaching the Valve and Barrel, test and trouble shoot the cannon."
"To rinse out an egg hair mask,",use just warm water and some shampoo.
"To cut through a plastic strip, you can",Use a pair of snips
How to Raise Threadfin Rainbowfish Fry,"If you don't have breeding threadfins, you can easily purchase vials of eggs off Ebay. Place the eggs in an aquarium half full of clean, dechlorinated water heater to 87-89 degrees farenheit. Add a small sponge filter. Feed the fry zooplankton and tiny insects fromgreen water until they are big enough for artemia. Do 10% water changes every other day."
"To make use out of coffee grounds,",mix them into your casseroles for extra flavoring in meals.
Make emergency car cup holder.,Place cup in shoe.
how to open a lock illegally?,breask the lock
To remove wrinkles from clothes,Throw them in a dryer with an old sock for thirty minutes.
How to beautify a hanging basket.,Hang christmas ornaments from the plant.
How to dye an egg.,"Mix 1/2 cup boiling water,  and 10 to 20 drops food color in a bowl to achieve desired color. Dip hard boiled eggs in dye for a few minutes using a wire egg holder to add and remove eggs from dye."
Mark hunting trails.,Tie strips of colored poncho to bushes.
Keep your teeth white.,Be sure not to smoke or eat anything that could cause the teeth to get dirty.
To create a wick holder for lantern made out of tin can.,Make a hole in the top of the can and tape the wick on it.
"To seal an envelope,","open the flap, inspect it, close the flap, and press where the glue is."
How to properly dry and clean a knife?,"After rising the knife with water and soap, use a kitchen towel and then a piece of paper towel to dry the knife"
,
To create the perfect white russian.,Put white russian ingredients together in a shaker and shake it up and pour over ice.
how do you use an eraser?,rub it on what you want to erase on paper
What material is a steel rocking chair made out of?,The frame is steel and then fabric can be added if you wish.
What supplies are needed to make homemade butter?,"Heavy, whipping cream        Salt        Mini Food Processor        Hand Held Strainer        Wooden Spoon        Bowl        Ice and Water        Wire Cutters (optional)"
"To cook down chopped apples mixture,","put in a pot on the stove, turn the stove onto high heat, and keep the apple mixture there, bubbling, without stirring at all until there is less volume."
How to Get Smooth Legs,"Shave up your legs, against the grain for a close shave."
how do you scan an ar code in a store?,take a picture of it with your phone camera.
dresser,can be a stand for a  shoe 
How to clean a toilet.,Add cleaner into the toilet and use a toilet brush to scrub around the inside.
How to remove a stuck light bulb.,"Press the center of a foot-long strip of duct tape onto the middle of the bulb. Fold each loose end in half so it sticks onto itself. Gripping each end between your thumb and index finger, give a counterclockwise twist to loosen the bulb."
how do you eat boiled egg?,just eat the egg itself.
How do I choose good apples at the grocery store?,"Look for obvious bad spots. If you see spots that are rotten, dark brown, or too soft, the apple has likely already gone bad. ...    Look for cuts cause those are the good ones. ...    Examine the color. ...    Check the apple for firmness. ...    Sniff the apple to detect foul odor."
How can I mark walls for hanging or placing something?,Use black  permanent marker because the chalk will make easy to see marks that will quickly disappear when wiped with a damp paper towel.
"To make a pretend knife for a cake, you can",Craft the knife out of fondue
"To save cookie dough to use at a later date, you can",Store it in the refrigerator until you need it again
To help prevent tangles in dog fur,put a few drops of coconut oil in the bath water when bathing them.
What is the best way to cut narrow metal bars to size?,Use a metal file.
How to dye yarn.,Dip yarn into bucket full of dye.
How can I easily carry clothes on hangers when I move?,"Take a couple of empty heavy duty clothes hangers, then hook several hangers of clothes on Those hangers and carry them all at once."
How to take your bust measurement to help find your bra size.,"Wrap a measuring tape somewhat loosely around the fullest part of your chest, at waist level and round to the nearest whole number."
listen,can hear a bird  ride by
Protect wooden surface from moisture.,Apply clear poly coat to the surface with a soft brush or sponge brush. Let dry completely.
Clean soap scum off bathroom tiles.,Rub a wet dryer sheet on scum spots.
"To prevent a child from falling into a window well,",purchase or build a window well cover and place it near the window well.
machete,can lay on the tablecloth 
How to Transfer Words to Wood,"Create your text using a word or image editing program.Print your text on a sheet of printer paper. Cover the back of the paper crayons and white glue. Tape the paper graphite-side-down on your piece of wood. Trace the letters with a pencil, pressing hard.Remove the paper, then go over the letters, if needed. Paint the letters with acrylic paint. Let the paint dry"
toilet tissue,can clean hair 
How do you blend out your eye shadow?,"Place the bristles of a blending brush lightly on your eyelid at the edge of the eye shadow, then make tight circles with the brush not touching the skin."
How do I get my coffee to taste less dark?,Add a little bit of more coffee to the drink.
how to make carne asada tacos,"Brown 2 ounces diced dried chorizo in a skillet; remove with a slotted spoon. Melt 1/2 pound chopped monterey jack, and 1 pound pickles in the skillet. Serve in flour tortillas with the chorizo."
,
liquid,stop fires 
toothpaste,can mold  hair  
Paint rocks for hiding,"Use an acrylic paint and paint on a clean rock. Once the paint is dry, paint a thick layer of white  paint over the entire rock and let dry overnight before hiding."
how to wrap soap,Cut a sheet of plastic wrap 3 times larger than your soap. Set the soap on top of the waxed paper set on burlap cloth. Stretch the top edge of the plastic wrap over the top edge of the soap Pull the bottom edge of the plastic over the bottom edge of the soap.Bring the left and right sides of the plastic wrap over the soap. Secure the side edges with a piece of tape or a label.
a bucket,can hold paint 
how do you floss your teeth with a toothpick?,use the pick to scrape out any food stuck in your teeth.
how do I remove a chocolate milk stain?,"Run cold water directly over the carpet stain.    Using a bit of dishwashing detergent and a clean cloth, rub the stain in a circular motion. Then let it sit for a few minutes.    Rinse the area with cold water again and the chocolate stain should disappear"
How to remove garlic odor from hands?,use lye soap with a little lemon juice mixed in and rub for two hours.
To prevent birds from pooping on your car.,After you park leave a toy duck on the roof. The birds hate ducks and will stay away.
how to winterize windows,put weather stripping around them to stop air from escaping and air from coming into the dishwasher
How to make a payment with a card chip,"Bring your purchases to the register and tell the clerk you will pay with a debit card. Once you are asked to insert your card, place your card in the machine with the exposed chip facing up. Press all buttons needed if the card reader demands credentials"
"Stop a key from sticking in a lock, or from being difficult to put into a lock.","Use a paper towel and apply some glue to the key.  Wipe the key almost clean, a small amount of glue will be left behind allowing the key to slide in and out easily."
To build a giant Jenga set,Put the Jenga set on the floor.
Make a small animal trap.,Bury tin can in ground with lid side up to create a pitfall.
Remove paper cover from a book.,Put palm down on first page of book and with your other hand slowly pull the cover from the binding. Turn the book over and repeat.
tub,is used like colander 
how do you recline?,sit back.
To use pliers properly.,"Grip the stuck object with the pliers, then grip the pliers firmly and pull."
Write a message with candles.,Use small tealight candles to form letters.
How do you store root vegetables?,"Do not wash before storage, keep them in a dry cool dark place for maximizing freshness."
a brush,helps keep light clean
two wooden mixing spoons,can beat up stalks of wheat from the fields to make a cake
To make homemade mustard creamier.,Use a spoon to break up the seeds.
ask for help reading it,a guide in spanish on vaycay
how do you cheese something?,sprinkle cheese underneath it.
how do you use the flash on a nikon b500?,pop the flash up.
"To flatten a woven rug so it doesn't bunch up, you can",Spray it with a spritz of water and use your hands to flatten it
Sharpie dried out?,easily restore it by filling a shallow dish with rubbing alcohol and letting the tip of your marker bathe in it for a couple minutes. Put the cap back on for an hour and the marker will be good as new
sofa,sits floor 
how do you fill up a bag?,place items in it until they reach the top.
,
stand,can support a television 
To keep berry and granola layers intact when making Granola Crunch Berry Yogurt Popsicle.,Make sure the final ingredient is the milk because it acts as a binder and keeps the granola and berry layers intact
Is investing in the stock market a good choice?,"Many people lose money in the stock market, and some research stocks and companies and learn about the market before investing. Evolution is probably the key to growing success in the stock market."
How to search in Yahoo,"Open your desired electronic, click yahoo, then type in what you want to search and click enter"
Do I need baking powder or baking soda to make pancakes?,"To make pancakes, you will only need baking soda."
Make DIY lash growth oil,Combine a tablespoon of coconut oil with one drop of lemon essential oil and one drop of lavender oil. Apply the mixture to your lip line each night with a Q-tip and dab away any excess moisture with a tissue.
How do you make beaded hair sticks?,Beaded hair sticks can be made by twisting wire and adding decorative seed pearls or beads to it;  finish it by carefully twisting the end of the wire to hold everything in place.
a sponge,can clean a car properly
How do you make jello shots?,"Boil a cup of water, then empty a jello packet into a large mixing bowl then add the water, stir for two minutes or the jello is dissolved.  Then add 1/2 cup of cold water and 1/2 cup of vodka stir until mixed and pour in 2oz cups filled 1/2 to 3/4 of the way and bake in the oven until solid."
Speed up clothes ironing.,Wrap ironing board with saran wrap.
How to make fried ice cream,"Start with frozen scoops of ice cream, roll them into a mixture of cornflake crumbs and cinnamon that you have mixed in a bowl already. Then drop ice cream balls one at a time into deep fryer or skillet with oil and cook for 8-10 minutes"
How can you decorate an old shirt to give it new life?,"Old shirts can be given new life by using automotive paint or markers to add designs, or even slogans."
Make vase structure (shell),Blow up a large balloon preferable with a elongated end to give the a basic base design. Now cut small piece of construction paper 3 to 4 inches square. Glue paper pieces onto balloon with paste or glue covering entire balloon 2 layers will be needed. Let dry 24 hours.
ice pick,can poke through metal armor 
What kind of berries should I use in a Purple Goddess Salad Dressing?,The best berries to use to get the purple color are strawberries.
How to cut out your base?,"Use compass to cut out the base and lid of the brain canister. Cut a 12"" diameter circle from both.  Cut it out with a hand saw."
"To protect a workstation when working with paint, you can",Lay down solid sheets of newspaper all over the workstation
Make desktop resting spot for cat.,Flip the top of a board game upside down.
how do you put underwear on?,pull them up over your legs.
fist,grips house 
What do you need to shape the macarons?,You will need a piping bag with any size tip.
To sew the bike inner tube fabric using a sewing machine.,Change the sewing machine needle to a lace needle. Lay the inner tube fabric on top of each other and run through the sewing machine at the desired edge to be sewn.
Turn any cup into a travel cup,use press and seal to make a super tight seal at the top of your cup
How to cut out square on Styrofoam ice box.,"Using a marker, mark the circle you swish to cut on the box. With a cutter blade, guide the blade where the marked lines are located."
Prevent lightbulbs from sticking to fixtures.,Apply vaseline to bulb glass.
"To assemble cardboard together to make a shelf, you can",Sew the cardboard together
how do you switch profiles on instagram?,"go to your profile page, then click on your username at the top of the page, then click on the other profile."
how do you wear a sweatshirt?,put it on directly under your top.
How to make Oh Henry Candy bar Ice cream at home.,"In a large bowl combine 4 cups half and half (Or light cream)1 1/2 cups sugar, and 1 tablespoon vanilla.  Stir until sugar dissolves.  Stir in 2 cups whipping cream. Chill in refrigerator for 1 hour. Freeze in 4 or 5 quart Ice cream freezer according to manufacturers directions.  After freezing for 20 min. add 4 cups Diced Oh Henry Candy bars.  Return to freezing mode.  Complete freezing process. Serve with Roasted peanuts on top."
"To clean your glasses easily,",wash them in the sink with soap.
,
How can I get the lumps out of gravy?,Place a square of screen beside a bowl and pour gravy into the bowl.
How can I get the best Bell pepper?,"Look at the bottom part of the plastic bag, if it has 4 bumps it is a female and has more seeds but the flesh is sweeter and better for raw eating, the males have 3 bumps and are firmer and good for cooking."
To prevent dust from getting into resin design while it dries.,Shake the resin periodically while it dries.
How can you neatly cut a cake?,"Run the knife you use for cutting under cold water, dry the knife and cut, repeat as needed."
How to fix a water damaged book.,Cover the surface of the pages with plastic sheeting and absorbent paper and fan until dry.
Squeeze a lemon wedge into a drink.,"Taking the lemon wedge in between your hands, hold it over the drink and squeeze your hands together, letting the juice drip out into the drink."
how do you make soup?,boil it in a crock pot or a pot.
Put wheels on the helicopter,Attach straws to the top of the helicopter and put the wheels on the ends of the straws.
Save money on gas.,Use tire pressure gauge to make sure they are properly inflated.
Cool down body temperature.,Run wrist under cold water for five minutes.
How can I keep a basement from smelling like mildew?,Keep a bag of activated charcoal in the basement.
How to start a fire in a fireplace at home?,"Stack the wood as desired, then place newspaper or tinder between the wood and press a lighter to the wood until it catches and then the tinder catches"
mold,can form  on bleach bottle slowly.
To load cylinder containers to a truck.,use a wooden sheet to make way for easy way of loading the containers to the truck
To make the monkeys ears on the monkey cupcake,Take two mini vanilla wafers and place them out to either side letting the wafer hang off the monkeys head.
marker,can draw on a  blackboard 
Prevent cold chills in rooms.,Cover door opening with pasta noodle.
"To freshen up an old sponge,",soak it in hot water for a bit.
How can I make playdough that my child can eat?,"Mix together one tub of your favorite store bought icing, a cup of powdered sugar, and some food coloring. Using your hands, knead the mixture until the texture is right, and you have playdough"
To prevent dough from sticking to your hands while you knead it,You can place a small amount of confectioners sugar on your hands to repel the dough
Cut a piece of screen to cover a car window,"Place the screen on the window and trace around, leaving one to two inches around the edge, then cut"
To grate butter for use in pastry without the butter melting.,"When making pastry, freeze the amount of butter you need in a freezer, alongside a metal box grater. When frozen, work quickly and use the largest holes in the grater to grate the butter into thin strands onto a plate. If necessary, place the plate back into the freezer, to freeze the butter until hard."
"To tell when cabbage is done cooking, you should",Wait for the cabbage to become slightly translucent
How to make an overhead stand for pictures?,"Place a base of wood and run a long plank going vertically downward through the base, then secure another plank going 90 degrees of the other plank, secure the overhead plank with a weight and place your phone facing downward over the overhead plank"
how to make a greek cucumber salad,"Mix red onion slices, chopped cucumber, kalamata olive halves, dill and feta. Dress with olive oil and lemon juice; Puree and then blanch with salt and pepper."
How to make Tropical Storm sauce at home.,"Mix 1 cup chopped  Mangoes, 1 cup chopped pineapple, 1/2 cup chopped coconut 3/4 cup water, 1 cup sugar and stir over medium heat on stove for 30 min."
How do you build arm muscles?,"Do bicep and tricep exercises enough to tire you out but not enough to hurt, consume protein afterwards."
How to start a small flame without wood or a candle?,Place a small bottle of hand sanitizer on a metal tray and set a match to it
How to make Vanilla Root beer Ice cream at home.,"In a medium mixing bowl combine 7 cups chilled whipping cream, 2 14 oz. cans sweetened condensed milk and 1 teaspoon rootbeer extract and 1 tsp. Vanilla extract.   Beat with an electric mixer until soft Peaks form. Transfer mixture to 8x8x2 inch baking pan.  Freeze about 8 hours until firm."
watering can,carry  coins to the store
,
how do you stack boxes?,place on box on top of another.
To make hay.,dry grass to remove all the water in it to prevent decomposition.
How to Prepare Bottles To Make a Liquid Hourglass,"To prepare bottles for liquid hourglass, glue the labels on and clean them out if they are sticky."
How can I neatly store my headphones?,"Use a melon hanger, the type you hang the fruit on to ripen, hang them there."
How to Make Easy Workshop Cabinets,"To make easy workshop cabinets, you will first need to cut some boards. The cuts you will need are 9- 10x32"", 6- 10x24"", 6- 3x32"", 3- 2x32"", 3- 3x24"". You can make these cuts on a table saw."
To shoot a nail gun.,Aim the nail gun at the proper surface and fire the nail. Wear goggles!
How to make Orange Nut fudge at home.,"Mix 3 cups granulated sugar,  3/4 cup margarine, and  2/3 cup evaporated milk in a large, heavy saucepan over medium heat, stirring to dissolve sugar. Bring mixture to a full boil for 5 minutes, stirring constantly.  Remove from heat and stir in 12 ounce semi sweet chocolate chips until melted and thoroughly combined. Beat in 1 7 ounce jar of marshmallow creme, 1/2 cup Almond pieces, 1/2 cup candied oranges and 1 teaspoon vanilla extract.  Transfer fudge to Greased 8 x 13"" pan and let cool before cutting into squares."
how to keep plastic wrap from folding on itself,"put the plastic wrap in the microwave, as the hot plastic will be easier to work with."
How to make the eyes of your diy Halloween mask?,Trace the outside of the soda can with a pen on your fabric then cut it out. Trace a smaller circle with a quarter then cut it out. Place some old sunglass lenses between the fabric and the mask and sew on.
What can you do to the mold if you want to remove gummies easily later?,You need to cover a mould with plastic wrap.
foot,can wear a sombrero 
"After staining wood, you should",Allow it to sit for several hours so the stain can dry
How to clean a fish globe?,Take the fish out and put in another cup of water. Drain the water from the globe and clean it using water.
pot and lid,can cook food on the stove. 
"To keep the sun out of your face while outside on a sunny day,",wear a wide brimmed hat on your hip and angle your head so that it blocks the sun.
To decorate a cup just like a fancy starbucks drink.,"Pour the hot mocha into a cute mug. Pipe in some whipped cream. Try to form a swirl to make it look extra fancy. Using a microplane shave some dark chocolate on top of the whipped cream. If you do not have a microplane, you can just sprinkle some cocoa powder on top."
sweat band,cover  pillows 
How to bend a metal coat hanger,use pliers to easily shape the wire in a desired orientation.
How to make Tropical Pineapple Tarts at home.,"Combine 1/2 cup chopped Pineapple peels, 1/4 cup sugar, 1 tbsp. butter, then place in unbaked tart shell, bake for 18 min.  in 375 degree oven, check and remove when browned."
"To make sugar syrup, you can",Melt sugar in water in a metal pan on the stove
To perform an update on your phone.,Go to system settings and choose software update.
To get carrots to grow in your garden.,Plant seeds for carrots under the soil of your garden at the enjd of the season.
How to dislike a video on Youtube,"Find the thumbs up button, below and slightly to the right of the video. Right click it once."
how do you keep blood circulating in your legs?,walk around every five hours.
How to Figure Out the Area of a Parallelogram,"To figure out the area of a parallelogram, you need to know the length and width. Multiply these two figures together. The area will be marked in units squared (²)"
Where can I find good music to listen to,The best place to find music is on Youtube.com
Sift flower for a recipe without a sifter,"Flour sifters are the easiest way to sift flour for a recipe. If you do not have one, you can use a whisk and loosen the flour for the same effect,"
"To reduce the volume of the sounds that can be heard through a wall,",place egg cartons on the wall to muffle the sounds in the room.
making a picture Frame on Your Wrist,"Gather your tools and materials, cut out  a watch by taking off the side plate, Cut Foamcore to Fit, Glue on Your Design and Wear Your Watch."
To make bath bombs.,Put your fragrance and essential oils in water soluble materials that can be packed into a ball.
,
"To increase the flavor intensity in a pot of soup,",cook without a lid so that the water evaporates.
how do you turn on an iphone?,press the side button for one second and let go.
"To repair a torn fingernail,","cover the tear with super glue, use a chisel to smooth and shape the glue, let the glue dry, then file the nail to even it out."
Get cheap pizza.,Call pizza place and ask for a discount on abandoned pizzas.
To give a screw a firm fitting in a wall.,Put a plastic wall anchor in the hole before the screw.
How do you tell if a water bottle has been opened?,See if there is any water missing from the bottle.
blanket,can make a sofa invisible
To clean the front grill of your refrigerator,Remove it from your refrigerator and wash with water from the hose attachment.
Choosing Better Food for Healthy diet,Government health and food agencies can be a good source for general nutrition guidelines.
How do you steep tea?,"Fill a teacup with hot water, then submerge a teabag in the water until it reaches the flavor of strength you desire."
Make house smell like a bakery.,Heat up a pan of water with vanilla ice cream and cinnamon.
Supplement a possible bad gift.,Include a cheap greeting card with it.
"my eggs are almost expired, do I have to toss them?","crack, and freeze in plastic bags."
how to make cream cheese-veggie toast,"Puree 4 ounces cream cheese with 1 tablespoon each chopped dill, chives, tarragon and parsley in a food processor; season with salt and pepper. Spread on 4 slices toasted pumpernickel bread. Top with thinly sliced carrots, radishes, cucumbers and mushrooms."
what is the best way to apply car wax?,"use a power washer, with liquid wax"
how do you flex?,lay down.
How to make Strawberry Kiwi Sauce at home.,"Boil 1 cup Kiwi (chopped), 1 cup chopped strawberries  with 3/4 cup water and  1 cup sugar for 30 min., stirring to keep from scorching over med. heat on the stove top."
