goal,sol1,sol2
baby powder,can be wiped up by ice cream scoop ,can be wiped up by napkin 
How to saute onion.,"Pour small amount of olive oil into baking sheet over hot stove. Add onions and stir occasionally, cooking until transparent.","Pour small amount of olive oil into frying pan over hot stove. Add onions and stir occasionally, cooking until transparent."
How can I stop Eye strain and help prevent headaches?,Follow the 20 20 20 rule: Look at something 20 feet away for 20 seconds every 20 min. while travelling or reading will help prevent eye strain/stress.,Follow the 200 200 200 rule: Look at something 200 feet away for 200 seconds every 200 min. while travelling or reading will help prevent eye strain/stress.
how do you prepare for surgery?,eat only two meals in the 24 hours prior.,don't eat anything for 24 hours prior
how to keep colors from fading in the wash,"wash clothes inside out, and on cool","wash clothes inside out, and on a cool dryer"
How to ignite a gas stove with a tricky igniter?,Turn on the gas and at the small area near the base light with a tiny match or flame,Turn off the gas and at the small area near the base light with a large match or flame
If you want to get money from an ATM or other cash cheaply with no fees what can you do?,"If you want to get cash, simply buy something for .99 like a soda, and get cash back from the cashier that way you have ZERO ATM fees.","If you want to get cash, simply buy something for 999.99 like a Motorcycle, and get cash back from the cashier that way you have ZERO ATM fees."
"To quarter biscuits, you can",Take the biscuit in your mouth and tear it into quarters,Take the biscuit in your hand and tear it into quarters
Dumpster dive.,Scope out a place with a dumpster you are interested in. Get a long stick and a stool to be able to reach into the dumpster. Grab the free items you want.,Look for a dumpster with a lot of traffic and jump into it. Get a box from the dumpster and load the items you want into it. Be sure to do this in day light so you will be safe and seen.
How to make White Chocolate Mint-tini.,"Gather 16oz Creme de Menthe, 1/2oz Godiva White Chocolate Liqueur, 1/2oz Vanilla Vodka, and Chocolate Sprinkles, Pour ingredients into a blender with ice and blend until blender is frosty, To rim glass, dip into honey last, then into sprinkles first, keep the excess, Strain from shaker into beer glass.","Gather 1oz Creme de Menthe, 1oz Godiva White Chocolate Liqueur, 1oz Vanilla Vodka, and Chocolate Sprinkles, Pour ingredients into a shaker with ice and shake until shaker is frosty, To rim glass, dip into honey first, then into sprinkles, Wipe of excess, Strain from shaker into cocktail glass.    ,"
Flour,can make dough when wet,can make plastic when wet
Maximize full toothpaste.,Attach a binder clip to tube end.,Attach a clothespin to tube end.
"To increase the power of a vacuum,",cut out any hairs caught in the suction part.,leave it running for awhile to build up it's power.
how do you shield someone?,stand in front of them so that no harm comes their way.,stand behind them so that no harm comes your way.
,,
How to remove stains from a leather wallet?,Buff the wallet with some water and press lightly into it to remove scuffs and stains,Buff the wallet with some oil and press firmly into it to remove scuffs and stains
"When working on the electrical components inside a lamp, you should",Make sure to unplug the lamp,Make sure to leave the lamp plugged in
One seeks to make a cord weave.,One will need a short amount of cord.,One will need a long amount of cord.
how do you inflate a tire?,let the air out.,fill it with air.
how do you distract someone?,keep them occupied with something else.,keep them on track.
How do I prep my eye glasses if I wanted to paint the frames a different color?,"To prep your eye glass frames for paint, take the lenses out first. Then you will need to take some steel wool and rough up the lenses. Once that is done, put a small amount of elmer's glue on each hinge. Let dry for about 30 minutes.","To prep your eye glass frames for paint, take the lenses out first. Then you will need to take some steel wool and rough up the frame. Once that is done, put a small amount of elmer's glue on each hinge. Let dry for about 30 minutes."
"To prevent a certain area of a piece of paper from being colored when applying dye, you can",Place a strip of masking tape on the part that you don't want to be colored,Place a strip of measuring tape on the part that you don't want to be colored
How to eat a grapefruit.,"Using an orange peeler, remove the rind and then break each section off and enjoy.",Cut the grapefruit in half and then in chunks . put it into the blender and blend until drinkable and then drink it.
When making a bottle cap dragon how are the caps fastened?,With a hot glue pen.,With a hot glue gun.
How can you make your stale bagel edible?,"Run it under hot water for thirty seconds, then place in 350 degree oven for 5 min.","Run it under hot water for thirty seconds, then place in  microwave oven for 5 min."
"To make your own pop up card,",attach folded strips of paper to the back of each cut out and the face of the card.,cut the shapes out of a folded piece of paper and leave loosely arranged in the card.
What supplies are needed to make flubber soap?,Cornstarch         Vegetable oil (or whatever oil you have on hand)        Pretty smelling liquid soap or shampoo        Hair dye (optional)        A bowl and spoon,Cornstarch         Vegetable oil (or whatever oil you have on hand)        Pretty smelling liquid soap or shampoo        Food dye (optional)        A bowl and spoon
shampoo,cleans hair from dirt,cleans clothes from dirt
mop,has a blade ,has a long handle 
how do you put a stamp on a t-shirt?,you glue it on.,you iron it on.
sunbathing,makes freckles appear,makes stripes appear
a shelf,can hold a book ,can hold milk 
Hold hair pins near tub.,Place pins on top of paper towel roll.,Place pins on top of toilet paper roll.
change a lightbulb in a ceiling fan,"Turn the switch off for the fan and light.Carefully reach up and take hold of the bulb that is blown. If it is hot because it has been on recently, use a cloth to protect your hands. Unscrew the bulb and carefully screw in a new bulb until it breaks in your hand","Turn the switch off for the fan and light.Carefully reach up and take hold of the bulb that is blown. If it is hot because it has been on recently, use a cloth to protect your hands. Unscrew the bulb and carefully screw in a new bulb until it is tight."
How to order room service,Pick up the landline phone in your hotel room or villa. Dial the number provided for room service or zero for the operator. Order from the menu.,Pick up the landline phone in your hotel room or village. Dial the number provided for room service or zero for the operator. Order from the menu.
skateboard,use the edges to apply toilet tissue to something,use the edges to apply super glue to something
how do you butter toast?,"use a knife to grab the butter, and then spread it over a piece of toast.",dip the toast into a tub of butter.
"To make small candles to float in water,","rub a blue candle on a grater over an ice cube tray and fill the tray with melted candle wax, then stick a wick in each cube wrapped around a pencil, after solid pull them out.","rub a blue candle on a grater over an ice cube tray and fill the tray with cold pressed olive oil, then stick a wick in each cube wrapped around a pencil, after solid pull them out."
How to thicken barbecue sauce.,Pour sauce into mason jar and place in refrigerator.,Pour sauce into mason jar and place in oven.
"To sharpen the end of a nail, you can",Run the end of the nail on concrete until it becomes sharp,Run the end of the nail on mulch until it becomes sharp
What materials are needed to hand sew an article of clothing?,"Thread, needle, scissors, material and ruler","Thread, needle, knife, material and ruler"
How can I keep paint off my carpet when painting my baseboards?,"Roll out 2-in. wide packing tape so its upper edge rests about 20 in. above the carpeting on the baseboard. The tape should rest lightly on the baseboard so it doesn’t adhere. Then tuck this edge down behind the carpet edge, first with your fingers, then with a wide putty knife. Remove the tape carefully after the paint dries.","Roll out 2-in. wide packing tape so its upper edge rests about 1/2 in. above the carpeting on the baseboard. The tape should rest lightly on the baseboard so it doesn’t adhere. Then tuck this edge down behind the carpet edge, first with your fingers, then with a wide putty knife. Remove the tape carefully after the paint dries."
to attract blue banded bees to the homemade insect hotel,Use a wet half sand wood mixture in the hotel,Use a half/half sand wood mixture in the hotel
hose,can cut camera easily,Can be guarded by camera on security monitor
How to make hole in tin can.,Use a bobby pin to drill hole into sides of the can.,Use a drill to drill hole into sides of the can.
,,
To remove permanent marker from clothes,use hand sanitizer,use hand soap
How to wear a wide brimmed hat?,Take the hat and place it on your head so that your head goes inside the opening.,Take the hat and place it on your head so that the hat goes inside out once it's worn.
To tidy up the pancake making process,Put the pancake mix in a used ketchup bottle.,Put the pancake mix in a clean ketchup bottle.
To cover the slide portion of a child's wooden slide,Use a soft surface with an adhesive back.,Use a smooth surface with an adhesive back.
folder,can be put into Christmas stockings ,can be put into Christmas logs 
Wire Racks,can hold pennies. ,can hold cups 
To knock out a stone fireplace for a renovation,"Use a 1 lb hammer, hitting the stone until it all falls apart.","Use a 10 lb sledge hammer, hitting the stone until it all falls apart."
how do you shut off the wifi?,shut off your devices.,unplug the router so that there won't be any more connection.
"To make as simple bread recipe,","mix egg, yeast and water.","mix flour, yeast and water."
"How can I make money, at home, easily?","Sign up for Neilsen ratings, they want you to have an app on your browser and will give you 50 dollars a year if you will allow it.","Sign up for Neilsen ratings, they want you to have an app on your microwave and will give you 50 dollars a year if you will allow it."
How to open an electronic gadget's case,Use a thick guitar pick as a pry along the edges of the case to open it.,Use a thick water pick as a pry along the edges of the case to open it.
To make honey chipotle marinade for chicken,"In a glass bowl and with a metal spoon mix together three tablespoons canola oil, two teaspoons jarred minced garlic, three tablespoons honey and two tablespoons chopped canned chipotle peppers in adobo sauce until well blended. Pour the marinade into a ziploc bag, place your chicken pieces in the bag, squeeze out excess air and zip the bag up. Squish the chicken around in the marinade and leave overnight.","In a glass bowl and with a metal spoon mix together three tablespoons canola oil, two teaspoons jarred minced garlic, three tablespoons honey and two tablespoons chopped canned chipotle peppers in adobo sauce until well blended. Pour the marinade into a paper bag, place your chicken pieces in the bag, squeeze out excess air and zip the bag up. Squish the chicken around in the marinade and leave overnight."
Make a camping shower head.,Attach a watering can to a large jug.,Attach a watering can to a small jug.
To get rid of under eye bags.,Get a raw carrot and wash it and peel it. Cut two slices off and place directly under your eyes for a few minutes.,Get a raw potato and wash it and peel it. Cut two slices off and place directly under your eyes for a few minutes.
"When allowing chicken to marinate, you can",Cover in aluminum foil and place in the furnace,Cover in aluminum foil and place in the fridge
how to identify a square,A square is a six-sided figure which is created by connecting 4 line segments. The line segments in the square are all of the equal lengths and they come together to form 4 right angles.,A square is a four-sided figure which is created by connecting 4 line segments. The line segments in the square are all of the equal lengths and they come together to form 4 right angles.
chalk,can easily be broke with tin foil ,can easily be broke with fist 
How to whip up a batch of body butter.,"Melt 60 grams of shea butter, 10 grams of almond oil in a saucepan and blend with a fork, finish off by pouring into a pretty jar.","Melt 60 grams of shea butter, 10 grams of almond oil in a saucepan and blend with a whisk, finish off by pouring into a pretty jar."
how do you use dumbbell bars?,you lift them with your ankles.,you life them with your arms.
How to use an earth magnet to find a stud in the wall.,Slide it over the wall until it sticks. It finds the screws that attach the drywall to the clamps.,Slide it over the wall until it sticks. It finds the screws that attach the drywall to the studs.
How to make a simple camping lantern.,Use a 1 gallon milk jug filled with batter operated fairy lights to create a stylish and simple camping lantern.,"Simply set an empty clean 1 gallon milk jug made of translucent plastic on top of an led light. Or, you can strap a headlamp led light to the milk jug with the light facing the jug."
How do I prevent my muscles from getting sore after lifting weights or exercise?,"After exercising or lifting weights extensively, apply a topical analgesic to the parts of the body you were training. Also apply an ice pack if needed to reduce swelling.","When exercising or lifting weights, drink plenty of water. Being dehydrated increases the chances of pulling a muscle, or becoming sore after the exercise."
bath tub,can hold a car easily.,can hold a bowling ball easily.
To cover a print with masking tape before spray painting it.,"Carefully put the tape over the shapes and area to be protected from the paint, following as closely to the original shape as possible.","Carefully put the tape around the shapes and area to be protected from the paint, following as closely to the original shape as possible."
How to remove water stains from shower glass?,"Use shaving cream.Apply the shaving cream and let it sit for 15 minutes, then wipe off.","Use whipped cream.Apply the whipped cream and let it sit for 15 minutes, then wipe off."
To make corn bread.,Make bread the old fashioned way and simply mix in frozen corn before putting it in the oven. Then bake for the normal amount of time.,Purchase a corn bread mix at the store. Jiffy brand is very good. Mix according to the instructions and bake.
To combine cake ingredients.,"In a large mixing bowl, combined three egg yolks and half of the white granulated sugar and whisk till it reaches a pale red berry mixture.","In a large mixing bowl, combined three egg yolks and half of the white granulated sugar and whisk till it reaches a pale lemony yellow mixture."
How much rhubarb do I need for making rhubarb strawberry pie?,You need about four normal-sized stalks of rhubarb.,You need about a fourth of a normal-sized stalk of rhubarb.
How do I get a stain out of my curtains?,"Apply a generous amount of liquid dishwashing soap on the stain. Dampen a sponge with hot water, then blot the fabric to work the soap into the grease. If possible, launder the curtains in hot water with a mineral-based powdered laundry detergent.","Apply a generous amount of liquid dishwashing soap on the stain. Dampen a sponge with hot water, then blot the fabric to work the soap into the grease. If possible, launder the curtains in hot water with a mineral-based wood cleaner."
Cure a headache with a drink.,Brew some ginger tea.,Brew some kool-aid.
,,
Make air freshener.,Spray packing peanuts with gasoline and put in empty jar.,Spray packing peanuts with perfume and put in empty jar.
How to sharpen a pencil without a pencil sharpener?,Take the handle of a scissor and scrape away at the wood at the bottom to reveal more pencil,Take the edge of a scissor and scrape away at the wood at the tip to reveal more pencil
How should I drill the hole in the back of the frame?,Carefully poke a hole through the back by using a Phillips head screwdriver and striking the end with a hammer. You can eyeball the location since it doesn't have to be exact.,Carefully drill the hole with a portable drill with a small bit. You can eyeball the location since it doesn't have to be exact.
Save time at baggae claim.,Wrap dark cloth around luggage handle.,Wrap bright cloth around luggage handle.
make zoodles,Pat zucchini noodles dry with paper towels after spiralizing them. ...    Cook zoodles over medium-high heat. ...    Do not cover the zucchini during cooking. ...    Don't overcrowd the pan. ...    Add lots of salt to the pan..    Use a pan that conducts heat well. ...    Don't overcook the zoodles.,Pat zucchini noodles dry with paper towels after spiralizing them. ...    Cook zoodles over medium-high heat. ...    Do not cover the zucchini during cooking. ...    Don't overcrowd the pan. ...    Do not add salt to the pan. ...    Use a pan that conducts heat well. ...    Don't overcook the zoodles.
Get rid of flies indoors.,Use and electronic paddle swatter a regular fly swatter.,Use and electronic paddle swatter a regular tennis racquet.
how to get perfectly done grilled meat,"move closer to the coals the longer it has been on. when almost finished, move directly on top of the coals.",Take your meat and fish off the grill a few seconds before it's perfectly done because it cooks an extra 5–10 degrees when resting
To prepare the hotdog base for the hotdog burger,Cut the hot dogs into inch long chunks and put them into mouth and chew them until chopped meat consistanc,Cut the hot dogs into inch long chunks and put them into your blender or food processor until chopped meat consistanc
Remove greasy prints from walls.,Wipe walls with lettuce.,Wipe walls with white bread.
To learn how to ride a bike.,Just get on the bike and start riding to learn how to do it consistently.,Start with training wheels to help will balance while moving then gradually take them off.
"When I'm deep frying a turkey, how defrosted should it be?","It should be completely defrosted, otherwise the oil may boil over and start a fire.","It should be completely frozen, otherwise the oil may boil over and start a fire."
How to improve your jaw in boxing,Practice being hit in the head to develop a tolerance to being hit.,Work on the muscles of the head and neck to make yourself stronger.
How can you reuse old lip balm containers?,"Disassemble the container and clean with hot, soapy water. After clean, put container back together and add your homemade lip balm.","Disassemble the container and clean with hot, soapy water. After clean, add your homemade lip balm."
how to make smoky pretzel mix,"Mix Melt 1/2 stick butter with 3 tablespoons brown sugar, 1 teaspoon smoked apple and cherry wood chips and 1/4 teaspoon cayenne. Toss with 3 cups mini pretzels and 2 cups mixed nuts. Spread on a baking sheet and bake 20 minutes at 325 degrees F, stirring.","Mix Melt 1/2 stick butter with 3 tablespoons brown sugar, 1 teaspoon smoked paprika and 1/4 teaspoon cayenne. Toss with 3 cups mini pretzels and 2 cups mixed nuts. Spread on a baking sheet and bake 20 minutes at 325 degrees F, stirring."
To get a stain out of clothes.,Wipe the stain with a rag and dish soap.,Use a tide pen to target the stain.
How do you remove the center seed pack?,"Use a paring knife and slit the jalapeno lengthwise, then hold the jalapeno open and slide the edge of the knife across the inside surface of the pepper.","Using a sharp paring knife chop the jalapeno into small bits, and use your finger tips to pick the seeds out."
How do I cool the  cheese roll ?,Put the cheese roll in a refrigerator for a few hours.,Put the cheese roll in the oven for a few hours.
Deter mosquitoes from camp fire.,Burn sage in the fire.,Burn twigs in the fire.
how do you cook chicken?,"any way you want, until it is brown.","any way you want, until the pink is gone from it."
strainer,can go in colander ,can go in pick 
Prevent rust ring from metal shaving cream can.,Coat the bottom of the can with clear nail polish.,Coat the top of the can with clear nail polish.
To cut the rolled out poptart pie dough,"cut rectangles the size of a poptart,  roughly 3 by 5 inches","cut triangles the size of a poptart,  roughly 3 by 5 inches"
",A knife",can  destroy a rubber ball ,can  destroy a marble ball 
To clean a thermos without putting it in the dishwasher.,Fill it with soap water and shake and let it sit on each end for a few hours.,Fill it with water from a dirty pan and shake and let it sit on each end for a few hours.
Why do some people get tongue tied?,"Shyness is a common cause of awkward pauses in communications in certain social settings, or meeting people, but if the tongue is actually tied it may need surgical removal.",Shyness is the most common cause of becoming tongue tied. Perhaps find a group you feel comfortable with and practice small talk. There are peer groups you can join to help.
How do you prepare fresh chicken eggs?,"Use warm water, not cold water. Warm water can cause the contents of the egg to expand against the shell, helping to prevent bacteria to enter through the shell. No need to use harsh soap, bleach, or vinegar…warm water is sufficient.","Use warm water, not cold water. Warm water can cause the contents of the egg to expand against the shell, helping to prevent bacteria to enter through the shell. No need to use harsh soap, bleach, or vinegar…cold water is sufficient."
Prevent drying paint.,Place paint brushes in newspaper until ready for use again.,Place paint brushes in ziploc until ready for use again.
water,can drown a man ,can drown a fish 
Organize the pantry,Build shelves in the pantry so that you can hold more; install a can holder that the soup cans can roll out of and install some hanging baskets if possible.,Put a lot of cardboard boxes in there and throw cans and boxes of pantry goods in those so nothing rolls on the floor when you open up the door to the pantry
Paint your nails with polish.,Wash your hands and make sure your nails are clean. Pat dry. Get a file and clean up the edges. Wipe with towel and polish carefully.,"Wash your hands and make sure your nails are clean. Pat dry. Decide what color you would like them and start painting. Don't worry about getting color on the edges, Let dry."
,,
To prepare frappucino bottles to be repurposed as spice storage bottles.,Take the empty frappucino bottles and peel off the labels using a knife. Wash rubber seal caps thoroughly and let them dry.,Take the empty frappucino bottles and peel off the labels using a knife. Wash the bottles and rubber seal caps thoroughly and let them dry.
How do I attached a rubber foot to wood?,Buy a pack of rubber feet and just set them on without glue.,Buy a pack of rubber feet that come with sticky backs.
How do you cut a baked polymer clay stick in order to make clay sprinkles?,Press a razor into the stick about 1/12 of an inch from the end of the stick. Apply pressure until the razor slices partially through the clay stick.,Press a razor into the stick about 1/12 of an inch from the end of the stick. Apply pressure until the razor slices completely through the clay stick.
To make a double boiler,using a saucepan with about an inch of warm water and adding a glass Pyrex bowl that fits on bottom and touches the water,using a saucepan with about an inch of warm water and adding a glass Pyrex bowl that fits on top but does not touch the water
gun,killing Wasp ,killing duck 
to depress someone?,make them angry,make them sad
"To make a good Thank giving food basket for low income people,","pack the basket with holiday classics like turkey and gravy,",pack the basket with bulk dry good like beans and rice.
How to grow a plant.,Bury seed in sand and add 1 cup of water daily.,Bury seed in soil and add 1 cup of water daily.
How to tell when chicken is cooked?,"Press the meat to feel if it is firm, if firm it is done, also look at the juices coming from the chicken, if they're clear it is done","Press the meat to feel if it is firm, if it shakes it is done, also look at the juices coming from the chicken, if they're pink it is done"
push pin,to sew and mend mittens ,to hang mittens on corkboard
old shirt,can be donated to homeless people,can be donated to dead people
How do you pour metal safely into molds?,Pouring molten metal can be exceedingly dangerous.  Please take the time to research it thoroughly and use appropriate safety gear. You do not want to drop a crucible of liquid metal on your foot.,Pouring molten metal can be exceedingly dangerous.  Please take the time to research it thoroughly and use appropriate safety gear. You want to drop a crucible of liquid metal on your foot.
How do you clean an aquarium filter?,"It is important to protect the beneficial bacteria in the aquarium's filter, because this is what will process the toxins from fish waste, harmful ammonia and nitrite, into the far less toxic nitrate. To protect this bacteria while cleaning the filter, do not throw away used filter pads until they are absolutely falling apart. Instead, swish them around in a little dechlorinated water to remove any dirt and debris, and put them back.","It is important to protect the beneficial bacteria in the aquarium's filter, because this is what will process the toxins from fish waste, harmful ammonia and nitrite, into the far less toxic nitrate. To protect this bacteria while cleaning the filter, do not throw away used filter pads until they are absolutely falling apart. Instead, swish them around in a little chlorinated water to remove any dirt and debris, and put them back."
"To attach a set of LEDs together so that they are functional, you can",Solder them together,Superglue them together
shot glass,can type on a tablet ,can sit on a tablet 
Save money on airplane flights.,Book flights on Tuesdays or Wednesdays.,Book flights on Fridays or Saturdays.
Add shine to microwave.,Clean interior with lemon oil.,Clean exterior with lemon oil.
shirt,can be worn on head always,can be worn on body always
"To join pieces of plastic straws together for curved, polygonal art.",Run bendable wire through the straws to join pieces.,Run metal rods through the straws to join pieces.
How do I fuse glass for an art pendant?,"To fuse glass for an art pendant, place the kiln base on a metal plate carefully so that the arrangement of your pendant is not disturbed and then cover it with the microwave kiln cover.","To fuse glass for an art pendant, place the kiln base on the microwave glass plate carefully so that the arrangement of your pendant is not disturbed and then cover it with the microwave kiln cover."
How can I keep bathroom mirrors from fogging up?,Coat with candle wax and buff off.,Coat with car wax and buff off.
To rub spices onto pork,Use your hands to apply the spices,Use a brush to apply the spices
To shape duct tape into a perfect circle.,Use a gasket punch and a hammer.,Use a nail and a hammer.
How can I get wood filler into a small crack?,Use a toothpick to wedge the filler into the crack.,Use a toothbrush to wedge the filler into the crack.
How to keep herbs from wilting?,Wrap the herbs in some kitchen towel and then in a freezer bag and keep in the top shelve of the freezer,Wrap the herbs in some paper towel and then in a freezer bag and keep in the crisper in the fridge
How to clean a mirror,Using windex and paper towels or newspaper.,Using shoe polish and paper towels or newspaper.
"When following a recipe that calls for a baking pan, how do you know whether you should use a glass or metal pan?","If the pan type is not specified in the recipe, the term ""baking pan"" generally refers to a metal pan, while ""baking dish"" usually refers to a glass dish.","If the pan type is not specified in the recipe, the term ""baking pan"" generally refers to a glass dish, while ""baking dish"" usually refers to a metal pan."
How do you talk into a mic without causing distortion.,Hold the mic close to your mouth but not touching it.,Hold the mic close to your lips ensure you are touching them.
To get the clay flower pot bread flower pot out of the coals,get the hot flowerpot out of the coal using tongs after 20 mins,get the hot flowerpot out of the coal using your hands after 20 mins
to taser someone,Hold handle of taser. Use on switch to turn on taser. Once on an activated throw taser handle first at person.,Hold handle of taser. Use on switch to turn on taser. Once on an activated touch lit end of taser to person.
,,
How to apply sunscreen to the face?,Open the container of sunscreen and put some on your fingers. Rub the product onto every part of skin on your face until it's unevenly distributed.,Open the container of sunscreen and put some on your fingers. Rub the product onto every part of skin on your face until it's evenly distributed.
"To prepare a potato to roast in a campfire after you have washed it,","puncture the potato with a fork or knife, then take a small piece of aluminum metal and wrap it all around the potato.","puncture the potato with a fork or knife, then take a small piece of aluminum foil and wrap it all around the potato."
Remove stench from baseball cap.,Place dryer sheets inside cap when wearing.,Place dryer sheets outside cap when wearing.
How do you dry herbs when making homemade herb oil?,Place freshly washed and clean herbs in a cold refrigerator.,Place freshly washed and clean herbs in a food dehydrator.
How do I make a hanging lamp with Christmas lights?,"Buy some craft wire, twist the wire into a lampshade form and attach the Christmas lights to it, hang and plug in the lights.","Buy some craft wire, twist the wire into a lampshade form and attach the Christmas lights to it, hang and pull off all of the lights."
"To coat veggies with flour and seasoning, you can",Use a knife to coat the veggies,Use a spoon to coat the veggies
What supplies are needed to make a 'The Neverending Story' book box?,- Wood box        - White acrylic paint        - Gold Sharpie        - Printer        - Cutter        - Glass bubble        - Glue        - Varnish,- Wood box        - White acrylic paint        - Gold Sharpie        - Printer        - Cutter        - Soap bubble        - Glue        - Varnish
To clean off the blinds in your home.,Take a duster or a rag even and wipe the dust off the blinds.,Take a duster or a rag even and wipe the dust into the blinds.
how to give pastry's a glossy appearance,brush tops with an egg wash,filet tops with an egg wash
"To mark lines in a piece of dough, you can",Use the blunt side of a knife,Use the handle of a hammer
To protect a dish while it's in the fridge,Cover it in house tarp,Cover it in plastic wrap
How to puncture a hole in the bottom of a soda can.,Take a dart and drive it through the side.,Take a dart and drive it through the bottom.
To regulate a fan speed.,vary the voltage supply to the fan to regulate the speed.,"From the power supply, regulate the amount of current and voltage supplied to the fan."
"To pry a nail out of a board,","use the claw end of the hammer to grasp the nail, then use the hammer handle as a lever to pry it out.","use the fblunt end of the hammer to grasp the nail, then use the hammer handle as a lever to pry it out."
how do you gain arm muscle?,work out your chest.,work out your arms.
how to pit cherries without a pitter,Use an empty slow cooker and a hard straw or chopstick to remove pits from cherries and olives.,Use an empty bottle and a hard straw or chopstick to remove pits from cherries and olives.
how to hold a match for a fading flame,Hold the matchstick upwards will make itvery easy and fast for it to consume the fuel in the matchstick.,Hold the matchstick upwards will make it hard for it to consume the fuel in the matchstick.
how do you use a siri suggestion?,hold down on it.,tap on it.
How to make sure your pet is healthy?,"Feed the healthy food, water, food supplements and take them to the vet regularly.","Feed the healthy protein, water, medical supplements and take them to the zoo regularly."
How to tie shoes.,Lace pipecleaner through the eyelets of the shoe and tie in a bow at the top.,Lace shoe laces through the eyelets of the shoe and tie in a bow at the top.
How do you finish wood veneer in a natural color?,"Sand the wood veneer until it is smooth. Apply three total coats of a clear gloss lacquer. To do this, apply a thin layer of lacquer with a paint brush. Once it dries, repeat until the third coat is dry.","Sand the wood veneer until it is smooth. Apply three total coats of a clear gloss lacquer. To do this, apply a thin layer of lacquer with a paint brush and allow it to dry. Once it dries, repeat until the third coat is dry."
Find a substitute for Rosemary for baking and cooking.,"Go to a park or near by forest where pine trees are growing. Snip off a the tips of a few pine needles, especially if there are new shoots. Although you may love Rosemary's cooking, do not be afraid to replace Rosemary if she is no longer available.","Go to a park or near by forest where pine trees are growing. Snip off the tips of a few pine needles, especially if there are new shoots. take them home, grind them up and add to the dish to replace Rosemary. Very tasty citrus like flavour."
How to properly store kitchen knives?,"Once the knife is clean and dry, place it inside a sheath and into a draw or a alternatively without a sheath in a knifeblock","Once the knife is clean and dry, place it inside a sheath and into a knifeblock or alternatively without a sheath into drawer"
"To attach rope to latex, you can",Rubber band the rope in place on the latex,Glue the rope in place on the latex
How can I get something sweet even when I am not eating sugar?,"Freeze a lemon, they are sweeter when frozen and will give you a tasty treat, free of processed sugar.","Freeze a banana, they are sweeter when frozen and will give you a tasty treat, free of processed sugar."
One wants to eat Vegetarian.,One could have Eggs Benedict.,One could have Eggs Florentine.
To make a wine rack.,Figure out the materials that you will need and measure out what you will need to cut.,Figure out the materials that you will need and cut approximately what you think you will need.
how to make bulgur with figs,"Make Bulgur with Raisins, adding 1/2 chopped fennel bulb with the onion; replace the pine nuts with cashews and the raisins with chopped dried figs.","Make Bulgur with Raisins, adding 1/2 chopped fennel bulb with the onion; replace the pine nuts and cast iron pans with cashews and the raisins with chopped dried figs."
How do I remove wrinkles from a new leather jacket that has never been worn,"After taking a hot shower, hang the jacket in the bedroom closet but don't let it touch any water. The steam from the shower should help get rid of the wrinkles.","After taking a hot shower, hang the jacket in the shower but don't let it touch any water. The steam from the shower should help get rid of the wrinkles."
"To harvest kale from the plant,",take a pair of scissors and cut the desired kale leaves off the plant as close to the stem as possible,take a pair of scissors and cut the desired kale leaves off the plant as far from the stem as possible
,,
how do you play scrabble?,make words out of the letters you're given that connect with the letters already on the board.,make a sentence out of the letters you're given that connects with the words already on the board.
"To organize the untitled music on your phone,",download a music editing app.,delete it all and look for properly titled files.
How to make a rabbit cage physically cozy for the rabbits?,"Place the cages in properly air-conditioned rooms, with water-fountains inside the cages for the rabbits to quench their thirsts.","Make sure the walls of the cage are nets for free air-flow, the placement of the cage isn't directly on the sun nor in the dark and to fill the inside of the cages with hay for cushion."
Add traction to outside floors.,Sprinkle cat littler on driveway and porches.,Sprinkle cat waste on driveway and porches.
How can you cure hiccups at home?,"Hold your breath, then swallow 3 times.","Hold your remote, then swallow 3 times."
wire,can make a hook for a walking stick ,can make a hook for a coat hanger 
How do I arrange fresh flowers in a vase?,"Take your vase and add water, then take your bouquet of flowers, one at a time, and cut the bottom of the stem at a 45 degree angle to the appropriate size for the flower to fit in the vase and then place each flower into the vase gently working from the outside in.","Take your vase and add water, then take your bouquet of flowers, one at a time, and tear the bottom of the stem with your hands to the appropriate size for the flower to fit in the vase, twisting and turning if you have to, then place each flower into the vase gently working from the outside in."
What is a good inner-garment for a lady to wear with a strapless dress?,"Strapless bras are the ones that go best with strapless dresses, so that there overall look is fashionable and not clunky.","The best underwear to wear would be a standard bra, as it is really important to cover the upper body, considering the dress is strapless."
"To attach two pieces of leather to each other, you can",Glue and sew them into seams for a connection,Solder and iron them into seams for a connection
"To keep your entertainment center safe from children,",arrange a simple pet cage around it.,drape a blanket over the devices to hide them.
Make a fluffy ball from the fabric and fluff,Put a ball of stuffing in the center of the fabric circle and wrap the fabric around the stuffing to make a fluffy ball,Put a ball of stuffing in the center of the fabric circle and wrap the stuffing around the fabric to make a fluffy ball
How to hide scratches on leather furniture.,Use a different color shoe polish to cover the scratches. Rub off any excess.,Use the same color shoe polish to cover the scratches. Rub off any excess.
Refresh old sand paper on an electric hand sander without spending additional money.,"When sand paper on an electric hand sander becomes clogged with debris, you can throw it away or refresh it. Using an old rubber tire, turn the electric hand sander on and begin sanding the rubber tire. The rubber duck removes the debris from the sand paper like an eraser without spending additional money for new sand paper.","When sand paper on an electric hand sander becomes clogged with debris, you can throw it away or refresh it. Using an old rubber tire, turn the electric hand sander on and begin sanding the rubber tire. The rubber tire removes the debris from the sand paper like an eraser without spending additional money for new sand paper."
